Date,Low,Open,Volume,High,Close,Adjusted Close
12-10-2011,1260.0,1260.0,2,1260.0,1260.0,1260.0
13-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
14-10-2011,1300.0,1300.0,1,1300.0,1300.0,1300.0
17-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
18-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
19-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
20-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
21-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
24-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
25-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
26-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
27-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
28-10-2011,1300.0,1300.0,0,1300.0,1300.0,1300.0
31-10-2011,1260.0,1260.0,0,1260.0,1260.0,1260.0
01-11-2011,1260.0,1260.0,0,1260.0,1260.0,1260.0
02-11-2011,1260.0,1260.0,4,1260.0,1260.0,1260.0
03-11-2011,1100.0,1100.0,3,1100.0,1100.0,1100.0
04-11-2011,1100.0,1260.0,1,1260.0,1100.0,1100.0
07-11-2011,1250.0,1260.0,3,1260.0,1250.0,1250.0
08-11-2011,1250.0,1260.0,8,1260.0,1260.0,1260.0
09-11-2011,1240.0,1260.0,9,1300.0,1250.0,1250.0
10-11-2011,1250.0,1300.0,5,1300.0,1250.0,1250.0
11-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
14-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
15-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
16-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
17-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
18-11-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
21-11-2011,1180.0,1180.0,2,1180.0,1180.0,1180.0
22-11-2011,1180.0,1180.0,0,1180.0,1180.0,1180.0
23-11-2011,1180.0,1180.0,0,1180.0,1180.0,1180.0
25-11-2011,1180.0,1180.0,0,1180.0,1180.0,1180.0
28-11-2011,1180.0,1180.0,0,1180.0,1180.0,1180.0
29-11-2011,1100.0,1100.0,1,1100.0,1100.0,1100.0
30-11-2011,1250.0,1300.0,0,1300.0,1250.0,1250.0
01-12-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
02-12-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
05-12-2011,1250.0,1250.0,0,1250.0,1250.0,1250.0
06-12-2011,1100.0,1100.0,0,1100.0,1100.0,1100.0
