Date,Low,Open,Volume,High,Close,Adjusted Close
11-06-1997,156.25,156.25,0.0,156.25,156.25,156.25
12-06-1997,,,,,,
13-06-1997,,,,,,
16-06-1997,78.75,78.75,0.0,78.75,78.75,78.75
17-06-1997,78.75,78.75,0.0,78.75,78.75,78.75
18-06-1997,78.75,78.75,0.0,78.75,78.75,78.75
19-06-1997,,,,,,
20-06-1997,235.0,235.0,0.0,235.0,235.0,235.0
23-06-1997,235.0,235.0,0.0,235.0,235.0,235.0
24-06-1997,235.0,235.0,0.0,235.0,235.0,235.0
25-06-1997,,,,,,
26-06-1997,156.25,156.25,0.0,156.25,156.25,156.25
27-06-1997,156.25,156.25,0.0,156.25,156.25,156.25
30-06-1997,156.25,156.25,0.0,156.25,156.25,156.25
01-07-1997,156.25,156.25,0.0,156.25,156.25,156.25
02-07-1997,,,,,,
03-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
07-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
08-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
09-07-1997,312.5,312.5,4.0,312.5,312.5,312.5
10-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
11-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
14-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
15-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
16-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
17-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
18-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
21-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
22-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
23-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
24-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
25-07-1997,312.5,312.5,0.0,312.5,312.5,312.5
28-07-1997,235.0,235.0,8.0,235.0,235.0,235.0
29-07-1997,235.0,235.0,0.0,235.0,235.0,235.0
30-07-1997,235.0,235.0,0.0,235.0,235.0,235.0
31-07-1997,312.5,312.5,16.0,312.5,312.5,312.5
01-08-1997,468.75,468.75,16.0,468.75,468.75,468.75
04-08-1997,468.75,468.75,0.0,468.75,468.75,468.75
05-08-1997,468.75,468.75,0.0,468.75,468.75,468.75
06-08-1997,468.75,468.75,0.0,468.75,468.75,468.75
07-08-1997,468.75,468.75,0.0,468.75,468.75,468.75
08-08-1997,391.25,391.25,60.0,937.5,391.25,391.25
11-08-1997,391.25,391.25,0.0,391.25,391.25,391.25
12-08-1997,391.25,391.25,0.0,391.25,391.25,391.25
13-08-1997,500.0,500.0,6.0,500.0,500.0,500.0
14-08-1997,500.0,500.0,0.0,500.0,500.0,500.0
15-08-1997,500.0,500.0,0.0,500.0,500.0,500.0
18-08-1997,625.0,625.0,28.0,625.0,625.0,625.0
19-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
20-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
21-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
22-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
25-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
26-08-1997,625.0,625.0,4.0,625.0,625.0,625.0
27-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
28-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
29-08-1997,625.0,625.0,0.0,625.0,625.0,625.0
02-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
03-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
04-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
05-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
08-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
09-09-1997,625.0,625.0,0.0,625.0,625.0,625.0
10-09-1997,500.0,750.0,54.0,775.0,750.0,750.0
11-09-1997,742.5,937.5,72.0,937.5,937.5,937.5
12-09-1997,937.5,937.5,0.0,937.5,937.5,937.5
15-09-1997,898.75,937.5,16.0,937.5,937.5,937.5
16-09-1997,937.5,937.5,0.0,937.5,937.5,937.5
17-09-1997,781.25,781.25,3.0,781.25,781.25,781.25
18-09-1997,781.25,781.25,1.0,781.25,781.25,781.25
19-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
22-09-1997,781.25,781.25,1.0,781.25,781.25,781.25
23-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
24-09-1997,781.25,781.25,14.0,781.25,781.25,781.25
25-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
26-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
29-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
30-09-1997,781.25,781.25,0.0,781.25,781.25,781.25
01-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
02-10-1997,781.25,1093.75,2.0,1093.75,1093.75,1093.75
03-10-1997,781.25,781.25,2.0,1055.0,781.25,781.25
06-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
07-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
08-10-1997,781.25,937.5,3.0,937.5,937.5,937.5
09-10-1997,937.5,937.5,0.0,937.5,937.5,937.5
10-10-1997,937.5,937.5,0.0,937.5,937.5,937.5
13-10-1997,937.5,937.5,0.0,937.5,937.5,937.5
14-10-1997,937.5,937.5,0.0,937.5,937.5,937.5
15-10-1997,781.25,781.25,2.0,781.25,781.25,781.25
16-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
17-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
20-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
21-10-1997,781.25,781.25,0.0,781.25,781.25,781.25
22-10-1997,625.0,625.0,8.0,625.0,625.0,625.0
23-10-1997,625.0,625.0,0.0,625.0,625.0,625.0
24-10-1997,625.0,625.0,1.0,625.0,625.0,625.0
27-10-1997,625.0,625.0,0.0,625.0,625.0,625.0
28-10-1997,625.0,625.0,4.0,625.0,625.0,625.0
29-10-1997,625.0,625.0,0.0,625.0,625.0,625.0
30-10-1997,625.0,625.0,0.0,625.0,625.0,625.0
31-10-1997,625.0,625.0,0.0,625.0,625.0,625.0
03-11-1997,625.0,625.0,0.0,625.0,625.0,625.0
04-11-1997,860.0,860.0,16.0,860.0,860.0,860.0
05-11-1997,781.25,781.25,12.0,781.25,781.25,781.25
06-11-1997,781.25,781.25,0.0,781.25,781.25,781.25
07-11-1997,781.25,781.25,0.0,781.25,781.25,781.25
10-11-1997,781.25,781.25,0.0,781.25,781.25,781.25
11-11-1997,703.75,703.75,2.0,703.75,703.75,703.75
12-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
13-11-1997,703.75,703.75,2.0,703.75,703.75,703.75
14-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
17-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
18-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
19-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
20-11-1997,703.75,703.75,6.0,703.75,703.75,703.75
21-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
24-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
25-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
26-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
28-11-1997,703.75,703.75,0.0,703.75,703.75,703.75
01-12-1997,937.5,937.5,1.0,937.5,937.5,937.5
02-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
03-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
04-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
05-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
08-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
09-12-1997,937.5,937.5,0.0,937.5,937.5,937.5
10-12-1997,547.5,547.5,21.0,625.0,547.5,547.5
11-12-1997,547.5,547.5,0.0,547.5,547.5,547.5
12-12-1997,703.75,703.75,8.0,781.25,703.75,703.75
15-12-1997,703.75,703.75,0.0,703.75,703.75,703.75
16-12-1997,781.25,781.25,2.0,781.25,781.25,781.25
17-12-1997,781.25,781.25,4.0,781.25,781.25,781.25
18-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
19-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
22-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
23-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
24-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
26-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
29-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
30-12-1997,781.25,781.25,0.0,781.25,781.25,781.25
31-12-1997,737.5,737.5,104.0,781.25,737.5,737.5
02-01-1998,586.25,586.25,13.0,586.25,586.25,586.25
05-01-1998,781.25,781.25,10.0,781.25,781.25,781.25
06-01-1998,781.25,781.25,0.0,781.25,781.25,781.25
07-01-1998,750.0,750.0,16.0,781.25,750.0,750.0
08-01-1998,750.0,750.0,0.0,750.0,750.0,750.0
09-01-1998,775.0,775.0,16.0,787.5,775.0,775.0
12-01-1998,468.75,860.0,19.0,937.5,860.0,860.0
13-01-1998,820.0,860.0,10.0,860.0,860.0,860.0
14-01-1998,586.25,586.25,0.0,586.25,586.25,586.25
15-01-1998,750.0,750.0,16.0,775.0,750.0,750.0
16-01-1998,800.0,860.0,16.0,860.0,860.0,860.0
20-01-1998,468.75,781.25,4.0,781.25,781.25,781.25
21-01-1998,781.25,781.25,0.0,781.25,781.25,781.25
22-01-1998,781.25,781.25,0.0,781.25,781.25,781.25
23-01-1998,547.5,625.0,45.0,781.25,625.0,625.0
26-01-1998,625.0,625.0,9.0,625.0,625.0,625.0
27-01-1998,547.5,547.5,12.0,547.5,547.5,547.5
28-01-1998,547.5,547.5,0.0,547.5,547.5,547.5
29-01-1998,507.5,547.5,91.0,547.5,547.5,547.5
30-01-1998,391.25,547.5,33.0,547.5,547.5,547.5
02-02-1998,562.5,562.5,16.0,575.0,562.5,562.5
03-02-1998,562.5,562.5,0.0,562.5,562.5,562.5
04-02-1998,625.0,625.0,2.0,625.0,625.0,625.0
05-02-1998,625.0,625.0,0.0,625.0,625.0,625.0
06-02-1998,625.0,625.0,0.0,625.0,625.0,625.0
09-02-1998,625.0,625.0,0.0,625.0,625.0,625.0
10-02-1998,625.0,625.0,0.0,625.0,625.0,625.0
11-02-1998,625.0,625.0,0.0,625.0,625.0,625.0
12-02-1998,625.0,625.0,12.0,625.0,625.0,625.0
13-02-1998,625.0,625.0,10.0,625.0,625.0,625.0
17-02-1998,625.0,625.0,8.0,663.75,625.0,625.0
18-02-1998,547.5,547.5,27.0,663.75,547.5,547.5
19-02-1998,547.5,547.5,39.0,625.0,547.5,547.5
20-02-1998,468.75,547.5,18.0,547.5,547.5,547.5
23-02-1998,273.75,391.25,59.0,391.25,391.25,391.25
24-02-1998,235.0,273.75,51.0,312.5,273.75,273.75
25-02-1998,273.75,273.75,0.0,273.75,273.75,273.75
26-02-1998,273.75,273.75,0.0,273.75,273.75,273.75
27-02-1998,391.25,547.5,38.0,547.5,547.5,547.5
02-03-1998,547.5,562.5,48.0,625.0,562.5,562.5
03-03-1998,547.5,547.5,41.0,703.75,547.5,547.5
04-03-1998,547.5,568.75,8.0,568.75,568.75,568.75
05-03-1998,468.75,625.0,19.0,625.0,625.0,625.0
06-03-1998,468.75,500.0,8.0,500.0,500.0,500.0
09-03-1998,391.25,468.75,59.0,625.0,468.75,468.75
10-03-1998,468.75,468.75,0.0,468.75,468.75,468.75
11-03-1998,430.0,468.75,32.0,468.75,468.75,468.75
12-03-1998,468.75,600.0,153.0,625.0,600.0,600.0
13-03-1998,507.5,507.5,99.0,625.0,507.5,507.5
16-03-1998,547.5,547.5,2.0,547.5,547.5,547.5
17-03-1998,391.25,625.0,68.0,625.0,625.0,625.0
18-03-1998,625.0,625.0,0.0,625.0,625.0,625.0
19-03-1998,562.5,625.0,29.0,625.0,625.0,625.0
20-03-1998,468.75,547.5,44.0,562.5,547.5,547.5
23-03-1998,468.75,507.5,53.0,586.25,507.5,507.5
24-03-1998,430.0,547.5,9.0,550.0,547.5,547.5
25-03-1998,547.5,547.5,0.0,547.5,547.5,547.5
26-03-1998,430.0,430.0,5.0,430.0,430.0,430.0
27-03-1998,428.75,428.75,1.0,428.75,428.75,428.75
30-03-1998,428.75,428.75,0.0,428.75,428.75,428.75
31-03-1998,507.5,507.5,1.0,507.5,507.5,507.5
01-04-1998,507.5,507.5,0.0,507.5,507.5,507.5
02-04-1998,475.0,475.0,0.0,475.0,475.0,475.0
03-04-1998,312.5,437.5,27.0,437.5,437.5,437.5
06-04-1998,273.75,391.25,18.0,391.25,391.25,391.25
07-04-1998,117.5,235.0,14.0,235.0,235.0,235.0
08-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
09-04-1998,235.0,235.0,1.0,235.0,235.0,235.0
13-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
14-04-1998,235.0,235.0,6.0,235.0,235.0,235.0
15-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
16-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
17-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
20-04-1998,235.0,235.0,12.0,235.0,235.0,235.0
21-04-1998,235.0,235.0,0.0,235.0,235.0,235.0
22-04-1998,156.25,195.0,16.0,195.0,195.0,195.0
23-04-1998,78.75,97.5,149.0,117.5,97.5,97.5
24-04-1998,75.0,75.0,24.0,75.0,75.0,75.0
27-04-1998,73.75,73.75,0.0,73.75,73.75,73.75
28-04-1998,73.75,73.75,0.0,73.75,73.75,73.75
29-04-1998,50.0,75.0,140.0,87.5,75.0,75.0
30-04-1998,50.0,50.0,208.0,78.75,50.0,50.0
01-05-1998,50.0,50.0,224.0,87.5,50.0,50.0
04-05-1998,25.0,37.5,306.0,58.75,37.5,37.5
05-05-1998,25.0,31.25,196.0,43.75,31.25,31.25
06-05-1998,37.5,50.0,74.0,50.0,50.0,50.0
07-05-1998,50.0,50.0,0.0,50.0,50.0,50.0
08-05-1998,50.0,50.0,0.0,50.0,50.0,50.0
11-05-1998,38.75,43.75,413.0,117.5,43.75,43.75
12-05-1998,18.75,37.5,148.0,50.0,37.5,37.5
13-05-1998,37.5,37.5,0.0,37.5,37.5,37.5
14-05-1998,18.75,18.75,1.0,18.75,18.75,18.75
15-05-1998,25.0,25.0,46.0,43.75,25.0,25.0
18-05-1998,31.25,31.25,6.0,31.25,31.25,31.25
19-05-1998,31.25,31.25,54.0,37.5,31.25,31.25
20-05-1998,31.25,31.25,96.0,37.5,31.25,31.25
21-05-1998,37.5,37.5,7.0,37.5,37.5,37.5
22-05-1998,31.25,37.5,122.0,37.5,37.5,37.5
26-05-1998,37.5,37.5,0.0,37.5,37.5,37.5
27-05-1998,18.75,31.25,32.0,31.25,31.25,31.25
28-05-1998,31.25,31.25,5.0,31.25,31.25,31.25
29-05-1998,25.0,25.0,42.0,31.25,25.0,25.0
01-06-1998,25.0,25.0,0.0,25.0,25.0,25.0
02-06-1998,25.0,25.0,0.0,25.0,25.0,25.0
03-06-1998,25.0,25.0,0.0,25.0,25.0,25.0
04-06-1998,25.0,25.0,0.0,25.0,25.0,25.0
05-06-1998,31.25,31.25,8.0,31.25,31.25,31.25
08-06-1998,31.25,31.25,0.0,31.25,31.25,31.25
09-06-1998,31.25,37.5,19.0,37.5,37.5,37.5
10-06-1998,31.25,31.25,92.0,37.5,31.25,31.25
11-06-1998,25.0,50.0,20.0,50.0,50.0,50.0
12-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
15-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
16-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
17-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
18-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
19-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
22-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
23-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
24-06-1998,50.0,50.0,0.0,50.0,50.0,50.0
25-06-1998,50.0,50.0,4.0,50.0,50.0,50.0
26-06-1998,37.5,37.5,42.0,50.0,37.5,37.5
29-06-1998,43.75,50.0,244.0,50.0,50.0,50.0
30-06-1998,50.0,50.0,14.0,50.0,50.0,50.0
01-07-1998,42.5,47.5,120.0,50.0,47.5,47.5
02-07-1998,37.5,37.5,40.0,37.5,37.5,37.5
06-07-1998,45.0,45.0,72.0,62.5,45.0,45.0
07-07-1998,45.0,45.0,0.0,45.0,45.0,45.0
08-07-1998,75.0,75.0,24.0,87.5,75.0,75.0
09-07-1998,75.0,75.0,0.0,75.0,75.0,75.0
10-07-1998,125.0,125.0,16.0,125.0,125.0,125.0
13-07-1998,112.5,125.0,16.0,125.0,125.0,125.0
14-07-1998,75.0,75.0,26.0,125.0,75.0,75.0
15-07-1998,75.0,75.0,0.0,75.0,75.0,75.0
16-07-1998,75.0,75.0,0.0,75.0,75.0,75.0
17-07-1998,75.0,87.5,28.0,87.5,87.5,87.5
20-07-1998,100.0,100.0,4.0,100.0,100.0,100.0
21-07-1998,100.0,100.0,0.0,100.0,100.0,100.0
22-07-1998,37.5,50.0,47.0,87.5,50.0,50.0
23-07-1998,37.5,50.0,13.0,50.0,50.0,50.0
24-07-1998,25.0,25.0,40.0,37.5,25.0,25.0
27-07-1998,25.0,25.0,0.0,25.0,25.0,25.0
28-07-1998,25.0,25.0,0.0,25.0,25.0,25.0
29-07-1998,25.0,25.0,0.0,25.0,25.0,25.0
30-07-1998,25.0,25.0,0.0,25.0,25.0,25.0
31-07-1998,12.5,12.5,116.0,25.0,12.5,12.5
03-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
04-08-1998,18.75,18.75,110.0,25.0,18.75,18.75
05-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
06-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
07-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
10-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
11-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
12-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
13-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
14-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
17-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
18-08-1998,12.5,12.5,1.0,12.5,12.5,12.5
19-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
20-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
21-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
24-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
25-08-1998,12.5,18.75,179.0,25.0,18.75,18.75
26-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
27-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
28-08-1998,18.75,18.75,0.0,18.75,18.75,18.75
31-08-1998,12.5,12.5,0.0,12.5,12.5,12.5
01-09-1998,12.5,12.5,12.0,12.5,12.5,12.5
02-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
03-09-1998,12.5,12.5,6.0,12.5,12.5,12.5
04-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
08-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
09-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
10-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
11-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
14-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
15-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
16-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
17-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
18-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
21-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
22-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
23-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
24-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
25-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
28-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
29-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
30-09-1998,12.5,12.5,0.0,12.5,12.5,12.5
01-10-1998,12.5,12.5,0.0,12.5,12.5,12.5
02-10-1998,12.5,12.5,0.0,12.5,12.5,12.5
05-10-1998,12.5,12.5,0.0,12.5,12.5,12.5
06-10-1998,12.5,12.5,0.0,12.5,12.5,12.5
07-10-1998,1.5750000476837158,1.5750000476837158,0.0,1.5750000476837158,1.5750000476837158,1.5750000476837158
08-10-1998,1.5750000476837158,1.5750000476837158,0.0,1.5750000476837158,1.5750000476837158,1.5750000476837158
09-10-1998,1.5750000476837158,1.5750000476837158,0.0,1.5750000476837158,1.5750000476837158,1.5750000476837158
12-10-1998,1.5750000476837158,1.5750000476837158,0.0,1.5750000476837158,1.5750000476837158,1.5750000476837158
13-10-1998,6.25,6.25,32.0,6.25,6.25,6.25
14-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
15-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
16-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
19-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
20-10-1998,11250.0,11250.0,0.0,11250.0,11250.0,11250.0
21-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
22-10-1998,6.25,6.25,0.0,6.25,6.25,6.25
