Date,Low,Open,Volume,High,Close,Adjusted Close
18-11-2013,47.4900016784668,49.75,587100,50.0,48.47999954223633,45.50558853149414
19-11-2013,45.29999923706055,48.9900016784668,1682000,49.0,45.79999923706055,42.99003219604492
20-11-2013,43.9900016784668,45.97999954223633,1106900,46.0,44.650001525878906,41.91057205200195
21-11-2013,43.040000915527344,44.5,730200,45.150001525878906,43.790000915527344,41.103328704833984
22-11-2013,43.25,43.900001525878906,947600,44.099998474121094,43.9900016784668,41.29106140136719
25-11-2013,43.70000076293945,44.279998779296875,727300,45.619998931884766,44.18000030517578,41.46940612792969
26-11-2013,43.040000915527344,45.0,873700,45.0,43.20000076293945,40.54952621459961
27-11-2013,42.5,43.54999923706055,1153300,43.54999923706055,43.2400016784668,40.58708190917969
29-11-2013,42.75,42.75,949900,43.849998474121094,43.2400016784668,40.58708190917969
02-12-2013,41.52000045776367,43.08000183105469,5130700,43.66999816894531,43.13999938964844,40.49321365356445
03-12-2013,42.70000076293945,42.79999923706055,3239300,44.849998474121094,42.900001525878906,40.26795196533203
04-12-2013,41.650001525878906,42.43000030517578,2777700,42.61000061035156,41.83000183105469,39.26360321044922
05-12-2013,40.630001068115234,42.279998779296875,3380500,42.279998779296875,41.04999923706055,38.53144073486328
06-12-2013,40.63999938964844,40.75,4662300,41.060001373291016,40.70000076293945,38.20292282104492
09-12-2013,40.2400016784668,40.70000076293945,3074000,41.27000045776367,41.18000030517578,38.65346145629883
10-12-2013,41.040000915527344,41.06999969482422,3289400,42.84000015258789,42.560001373291016,39.94880676269531
11-12-2013,42.0,42.31999969482422,3367300,43.02000045776367,42.459999084472656,39.85493469238281
12-12-2013,42.0,42.0099983215332,1770500,43.099998474121094,42.970001220703125,40.333656311035156
13-12-2013,42.91999816894531,42.91999816894531,683800,43.79999923706055,43.25,40.596466064453125
16-12-2013,42.11000061035156,43.0099983215332,1953900,43.9900016784668,43.689998626708984,41.00947189331055
17-12-2013,43.15999984741211,43.43000030517578,1396700,44.0,43.75,41.065792083740234
18-12-2013,43.099998474121094,43.650001525878906,1225200,44.5,44.27000045776367,41.55388259887695
19-12-2013,43.81999969482422,43.959999084472656,593000,44.5,44.45000076293945,41.722843170166016
20-12-2013,43.90999984741211,44.29999923706055,2878600,44.45000076293945,44.2599983215332,41.54450225830078
23-12-2013,43.54999923706055,44.16999816894531,773600,44.849998474121094,44.650001525878906,41.91057205200195
24-12-2013,44.25,44.7599983215332,304700,45.02000045776367,44.58000183105469,41.84487533569336
26-12-2013,44.439998626708984,44.86000061035156,513200,45.0099983215332,44.70000076293945,41.95750045776367
27-12-2013,44.09000015258789,44.77000045776367,393300,44.970001220703125,44.63999938964844,41.90117263793945
30-12-2013,44.0,44.45000076293945,381500,44.880001068115234,44.119998931884766,41.4130859375
31-12-2013,43.7599983215332,44.22999954223633,874200,44.5,44.189998626708984,41.478797912597656
02-01-2014,43.27000045776367,44.08000183105469,992900,44.18000030517578,43.650001525878906,40.9719352722168
03-01-2014,43.16999816894531,43.56999969482422,378400,44.31999969482422,43.959999084472656,41.26289749145508
06-01-2014,43.369998931884766,43.970001220703125,597800,43.97999954223633,43.68000030517578,41.00008773803711
07-01-2014,42.15999984741211,42.15999984741211,1371300,43.97999954223633,43.869998931884766,41.17842483520508
08-01-2014,43.400001525878906,44.02000045776367,1407100,44.36000061035156,43.880001068115234,41.18781661987305
09-01-2014,43.84000015258789,43.88999938964844,1093500,44.25,44.130001068115234,41.4224853515625
